epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,7420.77,0.64608,0.42206,1.07781,0.97349,0.95466,0.9705,0.81536,0.67884,0.43746,1.04065,0.00135344,0.00135344,0.00135344
59,7503.46,0.65332,0.43121,1.08238,0.98119,0.93262,0.96503,0.80852,0.69809,0.42691,1.07289,0.00134794,0.00134794,0.00134794
60,7584.75,0.66531,0.43527,1.08007,0.97628,0.94152,0.96505,0.81446,0.68772,0.49744,1.07084,0.00134244,0.00134244,0.00134244
61,7666.51,0.67508,0.44569,1.09475,0.98353,0.94315,0.96366,0.8128,0.70699,0.49959,1.04838,0.00133693,0.00133693,0.00133693
62,7747.26,0.66837,0.4422,1.08756,0.98041,0.94018,0.96508,0.82047,0.72638,0.48818,1.11029,0.00133143,0.00133143,0.00133143
63,7829.41,0.65984,0.42783,1.09267,0.96376,0.95191,0.96621,0.82383,0.6739,0.46176,1.04631,0.00132593,0.00132593,0.00132593
64,7911.54,0.67069,0.44769,1.09138,0.97822,0.94841,0.96582,0.82038,0.69121,0.46654,1.05346,0.00132043,0.00132043,0.00132043
65,7994.31,0.65372,0.42781,1.07881,0.97126,0.94841,0.96497,0.82396,0.70224,0.47062,1.09833,0.00131493,0.00131493,0.00131493
66,8075.87,0.64664,0.42208,1.07975,0.9749,0.9363,0.9616,0.81431,0.70044,0.4434,1.09624,0.00130943,0.00130943,0.00130943
67,8156.17,0.63463,0.40545,1.07594,0.9739,0.95151,0.96531,0.81481,0.67241,0.42222,1.05857,0.00130393,0.00130393,0.00130393
68,8240.05,0.66507,0.434,1.08143,0.98384,0.93789,0.96006,0.8177,0.71885,0.47035,1.07688,0.00129843,0.00129843,0.00129843
69,8323.84,0.63817,0.41856,1.07091,0.9604,0.95368,0.96646,0.83351,0.66053,0.41785,1.01587,0.00129293,0.00129293,0.00129293
70,8400.27,0.656,0.42206,1.07627,0.97751,0.95105,0.9602,0.82918,0.66128,0.41057,1.0178,0.00128742,0.00128742,0.00128742
