epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,3140.17,0.57587,0.34141,0.94578,0.97694,0.93634,0.96712,0.82169,0.60275,0.33253,0.95197,0.00133693,0.00133693,0.00133693
62,3194.85,0.57176,0.3346,0.93989,0.97661,0.94152,0.96286,0.82459,0.57902,0.34068,0.93751,0.00133143,0.00133143,0.00133143
63,3249.55,0.57561,0.33754,0.9408,0.9686,0.94382,0.95622,0.82207,0.6163,0.35115,0.97625,0.00132593,0.00132593,0.00132593
64,3304.34,0.56793,0.33654,0.94171,0.96298,0.95188,0.9595,0.80764,0.6046,0.38431,0.95523,0.00132043,0.00132043,0.00132043
65,3356.16,0.57277,0.3363,0.94154,0.97249,0.94888,0.95898,0.81989,0.60423,0.37524,0.95637,0.00131493,0.00131493,0.00131493
66,3409.27,0.57321,0.3442,0.9467,0.97312,0.94411,0.96008,0.8318,0.58672,0.38056,0.93921,0.00130943,0.00130943,0.00130943
67,3462.36,0.57623,0.34277,0.94305,0.96082,0.95198,0.96336,0.81821,0.60718,0.35477,0.95341,0.00130393,0.00130393,0.00130393
68,3515.3,0.5765,0.33787,0.94738,0.97571,0.94929,0.96132,0.82059,0.59274,0.36776,0.95183,0.00129843,0.00129843,0.00129843
69,3569.43,0.57315,0.33508,0.94385,0.98396,0.93468,0.96038,0.81927,0.59365,0.36302,0.94474,0.00129293,0.00129293,0.00129293
70,3624.51,0.56535,0.33528,0.93898,0.97416,0.94485,0.96197,0.81823,0.60862,0.36698,0.94859,0.00128742,0.00128742,0.00128742
71,3679.46,0.56732,0.33134,0.94036,0.96635,0.95161,0.96332,0.81949,0.58702,0.40418,0.93974,0.00128192,0.00128192,0.00128192
72,3734.47,0.5801,0.33927,0.94772,0.9652,0.94003,0.96148,0.82411,0.60626,0.36344,0.95854,0.00127642,0.00127642,0.00127642
73,3789.4,0.56112,0.33198,0.94244,0.96393,0.95447,0.95946,0.81966,0.60846,0.35253,0.95236,0.00127092,0.00127092,0.00127092
74,3844.27,0.55184,0.32264,0.9372,0.98017,0.94152,0.96184,0.83085,0.59503,0.35096,0.95056,0.00126542,0.00126542,0.00126542
75,3898.97,0.5611,0.32693,0.94176,0.97501,0.94152,0.96507,0.82906,0.57231,0.34253,0.93355,0.00125992,0.00125992,0.00125992
76,3953.22,0.56046,0.33191,0.94076,0.96614,0.95188,0.96236,0.82121,0.58988,0.34986,0.94424,0.00125442,0.00125442,0.00125442
77,4007.77,0.55125,0.32171,0.93631,0.97269,0.95598,0.9664,0.82325,0.6163,0.34668,0.95467,0.00124892,0.00124892,0.00124892
78,4062.3,0.55256,0.32082,0.9362,0.97475,0.95126,0.9652,0.82557,0.59984,0.34802,0.96038,0.00124342,0.00124342,0.00124342
79,4116.93,0.54852,0.31918,0.93259,0.97736,0.94411,0.9629,0.82731,0.60423,0.33985,0.95581,0.00123791,0.00123791,0.00123791
80,4171.47,0.54759,0.32038,0.9295,0.97451,0.94411,0.96521,0.82407,0.5977,0.34627,0.95424,0.00123241,0.00123241,0.00123241
81,4226.01,0.55689,0.32231,0.93298,0.96742,0.95098,0.96132,0.83002,0.58197,0.3526,0.93921,0.00122691,0.00122691,0.00122691
82,4280.53,0.54579,0.31915,0.93577,0.97454,0.94662,0.96285,0.822,0.61709,0.34137,0.97246,0.00122141,0.00122141,0.00122141
83,4333.96,0.54672,0.31756,0.93341,0.97658,0.94295,0.95942,0.82368,0.59248,0.34489,0.9515,0.00121591,0.00121591,0.00121591
84,4389.32,0.54212,0.31801,0.93752,0.97902,0.94535,0.96381,0.82184,0.56743,0.32091,0.94262,0.00121041,0.00121041,0.00121041
85,4442.89,0.54531,0.31748,0.93626,0.96651,0.95447,0.9591,0.82379,0.57268,0.34091,0.9457,0.00120491,0.00120491,0.00120491
86,4489.45,0.5435,0.3162,0.92802,0.97441,0.94833,0.96295,0.82428,0.58776,0.34515,0.94208,0.00119941,0.00119941,0.00119941
87,4535.57,0.5344,0.30899,0.9285,0.98601,0.94411,0.9636,0.82439,0.58153,0.33287,0.95143,0.00119391,0.00119391,0.00119391
88,4582.94,0.54379,0.3126,0.92973,0.97544,0.94411,0.96455,0.83147,0.57991,0.32793,0.93941,0.0011884,0.0011884,0.0011884
89,4627.14,0.54902,0.32063,0.93568,0.98211,0.94925,0.95947,0.82163,0.61665,0.36762,0.95731,0.0011829,0.0011829,0.0011829
90,4671.74,0.54365,0.31382,0.92703,0.97427,0.94373,0.96695,0.83239,0.57927,0.32481,0.94231,0.0011774,0.0011774,0.0011774
91,4716.48,0.54423,0.3163,0.93169,0.97898,0.93831,0.95938,0.83057,0.56175,0.35057,0.9453,0.0011719,0.0011719,0.0011719
92,4761.21,0.53693,0.31503,0.93431,0.98098,0.94311,0.96207,0.82943,0.57742,0.35299,0.95072,0.0011664,0.0011664,0.0011664
93,4805.66,0.53577,0.30992,0.93023,0.97327,0.9472,0.95514,0.82464,0.57424,0.36441,0.95042,0.0011609,0.0011609,0.0011609
94,4850.55,0.53729,0.3122,0.93086,0.97538,0.93812,0.96303,0.82721,0.58857,0.36536,0.95665,0.0011554,0.0011554,0.0011554
95,4895.27,0.53298,0.31111,0.92889,0.96772,0.95188,0.95601,0.8203,0.60976,0.37865,0.97221,0.0011499,0.0011499,0.0011499
96,4939.75,0.52949,0.30983,0.92582,0.9697,0.93893,0.95898,0.82099,0.59417,0.35133,0.9531,0.0011444,0.0011444,0.0011444
97,4984.04,0.52009,0.30511,0.92563,0.97494,0.94797,0.96655,0.8313,0.5669,0.33038,0.93728,0.00113889,0.00113889,0.00113889
98,5028.45,0.53043,0.30985,0.9285,0.98171,0.94864,0.96623,0.82367,0.55681,0.32517,0.93673,0.00113339,0.00113339,0.00113339
99,5073.05,0.53183,0.30805,0.92657,0.98103,0.94152,0.96605,0.82821,0.60028,0.33236,0.96443,0.00112789,0.00112789,0.00112789
100,5117.62,0.53622,0.31133,0.9318,0.97661,0.95447,0.9663,0.83194,0.5768,0.32565,0.94185,0.00112239,0.00112239,0.00112239
101,5161.77,0.53511,0.31136,0.9298,0.97558,0.94082,0.96467,0.82575,0.58579,0.34362,0.95519,0.00111689,0.00111689,0.00111689
102,5206.53,0.52979,0.3093,0.92657,0.97022,0.94032,0.95863,0.8268,0.58103,0.338,0.9537,0.00111139,0.00111139,0.00111139
